load_zone,stage_id,timepoint,load_mw
MSEDCL,1,20300130,35293.95182
MSEDCL,1,20300131,36263.03966
MSEDCL,1,20300132,36890.79374
MSEDCL,1,20300133,36722.47491
MSEDCL,1,20300134,36570.00578
MSEDCL,1,20300135,36663.48201
MSEDCL,1,20300136,35798.41713
MSEDCL,1,20300137,32922.70164
MSEDCL,1,20300138,29973.76274
MSEDCL,1,20300139,29366.62197
MSEDCL,1,20300140,29606.0852
MSEDCL,1,20300141,29536.84605
MSEDCL,1,20300142,28960.53539
MSEDCL,1,20300143,27766.42906
MSEDCL,1,20300144,26795.61391
MSEDCL,1,20300145,26361.60841
MSEDCL,1,20300146,26211.74214
MSEDCL,1,20300147,26000.01576
MSEDCL,1,20300148,26129.63414
MSEDCL,1,20300149,26890.70474
MSEDCL,1,20300150,28369.88927
MSEDCL,1,20300151,30172.05045
MSEDCL,1,20300152,31565.54563
MSEDCL,1,20300153,32735.48756
MSEDCL,1,20300154,34021.1196
MSEDCL,1,20300155,35020.74407
MSEDCL,1,20300156,35539.26439
MSEDCL,1,20300157,35666.49922
MSEDCL,1,20300158,35460.27218
MSEDCL,1,20300159,35383.62815
MSEDCL,1,20300160,34406.85734
MSEDCL,1,20300161,31471.48094
MSEDCL,1,20300162,28903.34021
MSEDCL,1,20300163,28228.3586
MSEDCL,1,20300164,28555.956
MSEDCL,1,20300165,28322.08626
MSEDCL,1,20300166,28078.22833
MSEDCL,1,20300167,27253.76571
MSEDCL,1,20300168,26359.01579
MSEDCL,1,20300169,25932.44922
MSEDCL,1,20300170,25600.44495
MSEDCL,1,20300171,25399.91061
MSEDCL,1,20300172,25251.7365
MSEDCL,1,20300173,25430.67917
MSEDCL,1,20300174,26781.36473
MSEDCL,1,20300175,29223.3314
MSEDCL,1,20300176,31080.12953
MSEDCL,1,20300177,32771.09758
MSEDCL,1,20300178,34003.36455
MSEDCL,1,20300179,34997.76502
MSEDCL,1,20300180,35825.39294
MSEDCL,1,20300181,35924.36275
MSEDCL,1,20300182,36162.62144
MSEDCL,1,20300183,36422.70827
MSEDCL,1,20300184,35493.60502
MSEDCL,1,20300185,32560.51227
MSEDCL,1,20300186,29787.66041
MSEDCL,1,20300187,29067.17898
MSEDCL,1,20300188,29427.53031
MSEDCL,1,20300189,29183.77746
MSEDCL,1,20300190,28681.808
MSEDCL,1,20300191,27459.06698
MSEDCL,1,20300192,26555.05396
MSEDCL,1,20300193,26263.84117
MSEDCL,1,20300194,25913.3577
MSEDCL,1,20300195,25514.26682
MSEDCL,1,20300196,25518.38589
MSEDCL,1,20300197,25902.15397
MSEDCL,1,20300198,27200.69174
MSEDCL,1,20300199,29457.12439
MSEDCL,1,20300200,31082.1735
MSEDCL,1,20300201,32431.48065
MSEDCL,1,20300202,33714.30495
MSEDCL,1,20300203,34938.17638
MSEDCL,1,20300204,35572.74951
MSEDCL,1,20300205,35448.09443
MSEDCL,1,20300206,35493.8188
MSEDCL,1,20300207,35751.56043
MSEDCL,1,20300208,34801.45372
MSEDCL,1,20300209,31992.94743
MSEDCL,1,20300210,29068.45474
